Frequency (Hz),"Level (dB)
"
15.625000,"-74.372360
"
31.250000,"-66.680687
"
46.875000,"-63.130852
"
62.500000,"-65.075531
"
78.125000,"-66.009514
"
93.750000,"-67.945961
"
109.375000,"-72.543900
"
125.000000,"-77.892151
"
140.625000,"-65.847908
"
156.250000,"-62.536095
"
171.875000,"-63.936264
"
187.500000,"-65.455414
"
203.125000,"-64.205719
"
218.750000,"-62.864033
"
234.375000,"-63.179310
"
250.000000,"-65.404816
"
265.625000,"-67.700401
"
281.250000,"-64.820457
"
296.875000,"-62.645782
"
312.500000,"-62.877064
"
328.125000,"-65.139015
"
343.750000,"-66.301895
"
359.375000,"-66.387466
"
375.000000,"-70.230614
"
390.625000,"-75.748978
"
406.250000,"-73.411301
"
421.875000,"-67.501999
"
437.500000,"-64.589455
"
453.125000,"-61.921013
"
468.750000,"-61.328220
"
484.375000,"-61.409878
"
500.000000,"-59.428139
"
515.625000,"-56.775051
"
531.250000,"-56.058849
"
546.875000,"-57.473915
"
562.500000,"-57.727760
"
578.125000,"-57.572365
"
593.750000,"-59.871517
"
609.375000,"-61.853745
"
625.000000,"-60.435085
"
640.625000,"-64.318512
"
656.250000,"-65.674599
"
671.875000,"-59.914036
"
687.500000,"-58.091381
"
703.125000,"-56.020233
"
718.750000,"-57.909840
"
734.375000,"-58.881382
"
750.000000,"-57.577023
"
765.625000,"-61.874187
"
781.250000,"-65.994415
"
796.875000,"-64.594337
"
812.500000,"-60.246616
"
828.125000,"-60.465179
"
843.750000,"-57.026794
"
859.375000,"-56.911434
"
875.000000,"-56.769306
"
890.625000,"-58.637962
"
906.250000,"-66.643372
"
921.875000,"-65.578285
"
937.500000,"-63.117176
"
953.125000,"-62.366287
"
968.750000,"-65.506973
"
984.375000,"-67.546799
"
1000.000000,"-65.079346
"
1015.625000,"-62.009937
"
1031.250000,"-60.373989
"
1046.875000,"-62.761456
"
1062.500000,"-68.674599
"
1078.125000,"-71.097015
"
1093.750000,"-65.577477
"
1109.375000,"-63.253258
"
1125.000000,"-64.939529
"
1140.625000,"-66.503296
"
1156.250000,"-63.374451
"
1171.875000,"-64.879730
"
1187.500000,"-64.480370
"
1203.125000,"-64.368500
"
1218.750000,"-68.098595
"
1234.375000,"-64.152054
"
1250.000000,"-65.982880
"
1265.625000,"-71.622063
"
1281.250000,"-68.618530
"
1296.875000,"-68.521797
"
1312.500000,"-70.696915
"
1328.125000,"-67.380257
"
1343.750000,"-64.911690
"
1359.375000,"-64.779495
"
1375.000000,"-66.495964
"
1390.625000,"-69.599632
"
1406.250000,"-71.915916
"
1421.875000,"-71.842377
"
1437.500000,"-69.212631
"
1453.125000,"-68.475830
"
1468.750000,"-70.615280
"
1484.375000,"-69.169121
"
1500.000000,"-66.213776
"
1515.625000,"-65.935745
"
1531.250000,"-68.182289
"
1546.875000,"-67.605400
"
1562.500000,"-67.547958
"
1578.125000,"-69.467575
"
1593.750000,"-70.571625
"
1609.375000,"-72.152618
"
1625.000000,"-71.336601
"
1640.625000,"-68.442215
"
1656.250000,"-68.455635
"
1671.875000,"-69.283455
"
1687.500000,"-70.867203
"
1703.125000,"-69.049683
"
1718.750000,"-66.118271
"
1734.375000,"-66.370293
"
1750.000000,"-67.928932
"
1765.625000,"-68.375641
"
1781.250000,"-72.891037
"
1796.875000,"-73.603394
"
1812.500000,"-70.560890
"
1828.125000,"-71.470825
"
1843.750000,"-71.837669
"
1859.375000,"-71.985237
"
1875.000000,"-69.483253
"
1890.625000,"-72.496834
"
1906.250000,"-73.890060
"
1921.875000,"-70.083359
"
1937.500000,"-69.026520
"
1953.125000,"-68.570602
"
1968.750000,"-70.014862
"
1984.375000,"-73.753532
"
2000.000000,"-73.620743
"
2015.625000,"-71.608711
"
2031.250000,"-73.203766
"
2046.875000,"-68.790421
"
2062.500000,"-66.570038
"
2078.125000,"-68.702858
"
2093.750000,"-68.452637
"
2109.375000,"-66.409546
"
2125.000000,"-68.105789
"
2140.625000,"-71.790947
"
2156.250000,"-66.644821
"
2171.875000,"-66.761940
"
2187.500000,"-65.225273
"
2203.125000,"-61.231678
"
2218.750000,"-65.225525
"
2234.375000,"-80.133942
"
2250.000000,"-74.439980
"
2265.625000,"-69.686951
"
2281.250000,"-65.260460
"
2296.875000,"-65.504662
"
2312.500000,"-67.255440
"
2328.125000,"-63.708241
"
2343.750000,"-62.231709
"
2359.375000,"-63.118626
"
2375.000000,"-66.865555
"
2390.625000,"-63.729366
"
2406.250000,"-62.326622
"
2421.875000,"-64.009277
"
2437.500000,"-57.841843
"
2453.125000,"-56.444206
"
2468.750000,"-59.857716
"
2484.375000,"-66.217598
"
2500.000000,"-59.811310
"
2515.625000,"-57.331348
"
2531.250000,"-64.063683
"
2546.875000,"-56.248848
"
2562.500000,"-53.781181
"
2578.125000,"-53.940525
"
2593.750000,"-50.680332
"
2609.375000,"-45.379307
"
2625.000000,"-46.702366
"
2640.625000,"-45.549454
"
2656.250000,"-42.169792
"
2671.875000,"-42.924664
"
2687.500000,"-38.380074
"
2703.125000,"-39.180462
"
2718.750000,"-36.030945
"
2734.375000,"-32.626640
"
2750.000000,"-32.357208
"
2765.625000,"-30.240107
"
2781.250000,"-30.104462
"
2796.875000,"-29.056345
"
2812.500000,"-32.661144
"
2828.125000,"-35.576977
"
2843.750000,"-33.582455
"
2859.375000,"-40.921089
"
2875.000000,"-38.982178
"
2890.625000,"-38.241852
"
2906.250000,"-36.408520
"
2921.875000,"-34.062283
"
2937.500000,"-36.862366
"
2953.125000,"-31.362333
"
2968.750000,"-33.162323
"
2984.375000,"-30.682919
"
3000.000000,"-25.594021
"
3015.625000,"-33.608871
"
3031.250000,"-24.428347
"
3046.875000,"-20.692831
"
3062.500000,"-20.516886
"
3078.125000,"-20.160015
"
3093.750000,"-22.191946
"
3109.375000,"-26.277111
"
3125.000000,"-31.454887
"
3140.625000,"-32.795143
"
3156.250000,"-34.056576
"
3171.875000,"-37.509510
"
3187.500000,"-39.578484
"
3203.125000,"-41.766598
"
3218.750000,"-45.459328
"
3234.375000,"-46.466904
"
3250.000000,"-46.061001
"
3265.625000,"-47.624897
"
3281.250000,"-51.323978
"
3296.875000,"-53.244247
"
3312.500000,"-51.489628
"
3328.125000,"-49.350311
"
3343.750000,"-45.708912
"
3359.375000,"-47.395138
"
3375.000000,"-47.763718
"
3390.625000,"-45.551102
"
3406.250000,"-48.023109
"
3421.875000,"-51.396309
"
3437.500000,"-52.558723
"
3453.125000,"-52.729477
"
3468.750000,"-53.137241
"
3484.375000,"-55.419930
"
3500.000000,"-56.792206
"
3515.625000,"-59.236706
"
3531.250000,"-61.919022
"
3546.875000,"-60.456924
"
3562.500000,"-64.259552
"
3578.125000,"-73.946457
"
3593.750000,"-64.840477
"
3609.375000,"-63.638748
"
3625.000000,"-65.585121
"
3640.625000,"-64.788506
"
3656.250000,"-64.390907
"
3671.875000,"-72.521103
"
3687.500000,"-64.811172
"
3703.125000,"-62.465000
"
3718.750000,"-63.200924
"
3734.375000,"-61.320324
"
3750.000000,"-60.712490
"
3765.625000,"-61.908154
"
3781.250000,"-62.513905
"
3796.875000,"-63.918629
"
3812.500000,"-67.646492
"
3828.125000,"-73.932205
"
3843.750000,"-68.571739
"
3859.375000,"-65.361404
"
3875.000000,"-63.144783
"
3890.625000,"-64.111488
"
3906.250000,"-66.021469
"
3921.875000,"-68.228638
"
3937.500000,"-72.124229
"
3953.125000,"-75.359612
"
3968.750000,"-77.707176
"
3984.375000,"-81.661232
"
4000.000000,"-82.698013
"
4015.625000,"-76.061783
"
4031.250000,"-73.604607
"
4046.875000,"-69.859764
"
4062.500000,"-71.221642
"
4078.125000,"-78.310059
"
4093.750000,"-73.310440
"
4109.375000,"-70.795776
"
4125.000000,"-74.087349
"
4140.625000,"-70.185524
"
4156.250000,"-68.701935
"
4171.875000,"-69.640190
"
4187.500000,"-68.635757
"
4203.125000,"-69.606956
"
4218.750000,"-79.010887
"
4234.375000,"-72.063400
"
4250.000000,"-69.435234
"
4265.625000,"-68.716873
"
4281.250000,"-70.486031
"
4296.875000,"-70.719414
"
4312.500000,"-68.585236
"
4328.125000,"-69.434784
"
4343.750000,"-70.017761
"
4359.375000,"-70.948357
"
4375.000000,"-68.886169
"
4390.625000,"-66.560303
"
4406.250000,"-70.411980
"
4421.875000,"-70.143631
"
4437.500000,"-72.128677
"
4453.125000,"-72.029221
"
4468.750000,"-70.595695
"
4484.375000,"-67.109253
"
4500.000000,"-65.658981
"
4515.625000,"-70.030800
"
4531.250000,"-72.072815
"
4546.875000,"-75.125443
"
4562.500000,"-72.069946
"
4578.125000,"-67.166664
"
4593.750000,"-65.870712
"
4609.375000,"-67.659058
"
4625.000000,"-67.357750
"
4640.625000,"-67.918015
"
4656.250000,"-68.717186
"
4671.875000,"-71.498123
"
4687.500000,"-73.178398
"
4703.125000,"-71.080345
"
4718.750000,"-69.578072
"
4734.375000,"-69.524895
"
4750.000000,"-69.094215
"
4765.625000,"-68.797897
"
4781.250000,"-66.983925
"
4796.875000,"-66.561226
"
4812.500000,"-68.571510
"
4828.125000,"-69.661179
"
4843.750000,"-76.653206
"
4859.375000,"-76.077644
"
4875.000000,"-70.872993
"
4890.625000,"-71.617447
"
4906.250000,"-74.500206
"
4921.875000,"-77.529999
"
4937.500000,"-80.228409
"
4953.125000,"-81.011215
"
4968.750000,"-71.969673
"
4984.375000,"-70.061745
"
5000.000000,"-78.728600
"
5015.625000,"-73.438705
"
5031.250000,"-70.927063
"
5046.875000,"-67.776855
"
5062.500000,"-68.543251
"
5078.125000,"-70.117943
"
5093.750000,"-73.872757
"
5109.375000,"-76.585533
"
5125.000000,"-76.057335
"
5140.625000,"-73.890816
"
5156.250000,"-66.810417
"
5171.875000,"-67.177315
"
5187.500000,"-68.269188
"
5203.125000,"-65.083221
"
5218.750000,"-66.730705
"
5234.375000,"-68.598244
"
5250.000000,"-67.107643
"
5265.625000,"-67.388420
"
5281.250000,"-66.765739
"
5296.875000,"-65.488464
"
5312.500000,"-66.575325
"
5328.125000,"-68.348709
"
5343.750000,"-68.987404
"
5359.375000,"-65.465981
"
5375.000000,"-67.296776
"
5390.625000,"-73.317230
"
5406.250000,"-64.123924
"
5421.875000,"-65.698082
"
5437.500000,"-72.510384
"
5453.125000,"-68.492851
"
5468.750000,"-68.659218
"
5484.375000,"-67.879028
"
5500.000000,"-64.597099
"
5515.625000,"-63.653400
"
5531.250000,"-67.929359
"
5546.875000,"-73.004425
"
5562.500000,"-65.216751
"
5578.125000,"-64.807961
"
5593.750000,"-71.109642
"
5609.375000,"-67.844650
"
5625.000000,"-70.456497
"
5640.625000,"-72.234741
"
5656.250000,"-66.755592
"
5671.875000,"-67.240715
"
5687.500000,"-69.928329
"
5703.125000,"-72.075859
"
5718.750000,"-71.002892
"
5734.375000,"-68.107170
"
5750.000000,"-69.532806
"
5765.625000,"-72.880348
"
5781.250000,"-75.129356
"
5796.875000,"-68.404762
"
5812.500000,"-66.251175
"
5828.125000,"-59.368572
"
5843.750000,"-59.112026
"
5859.375000,"-66.341515
"
5875.000000,"-68.555115
"
5890.625000,"-66.207306
"
5906.250000,"-65.649994
"
5921.875000,"-64.333435
"
5937.500000,"-63.792973
"
5953.125000,"-60.101444
"
5968.750000,"-62.133789
"
5984.375000,"-59.992348
"
6000.000000,"-57.958691
"
6015.625000,"-66.600525
"
6031.250000,"-60.224644
"
6046.875000,"-59.835926
"
6062.500000,"-65.566025
"
6078.125000,"-66.251114
"
6093.750000,"-60.169209
"
6109.375000,"-57.286682
"
6125.000000,"-60.972321
"
6140.625000,"-68.714027
"
6156.250000,"-67.062561
"
6171.875000,"-61.725056
"
6187.500000,"-57.543686
"
6203.125000,"-59.413235
"
6218.750000,"-63.284103
"
6234.375000,"-66.846863
"
6250.000000,"-66.998085
"
6265.625000,"-65.161957
"
6281.250000,"-67.254440
"
6296.875000,"-69.535767
"
6312.500000,"-69.709435
"
6328.125000,"-70.834709
"
6343.750000,"-72.981194
"
6359.375000,"-72.957794
"
6375.000000,"-68.187744
"
6390.625000,"-63.614883
"
6406.250000,"-63.803898
"
6421.875000,"-68.833160
"
6437.500000,"-69.556511
"
6453.125000,"-65.677628
"
6468.750000,"-63.591358
"
6484.375000,"-66.241394
"
6500.000000,"-69.912796
"
6515.625000,"-70.681473
"
6531.250000,"-74.735725
"
6546.875000,"-69.272820
"
6562.500000,"-69.222298
"
6578.125000,"-64.783836
"
6593.750000,"-60.679165
"
6609.375000,"-60.048435
"
6625.000000,"-60.666622
"
6640.625000,"-58.996464
"
6656.250000,"-56.119530
"
6671.875000,"-53.894634
"
6687.500000,"-51.929062
"
6703.125000,"-49.874458
"
6718.750000,"-49.219822
"
6734.375000,"-49.853004
"
6750.000000,"-48.809635
"
6765.625000,"-47.395679
"
6781.250000,"-49.148041
"
6796.875000,"-54.740330
"
6812.500000,"-52.383671
"
6828.125000,"-54.724010
"
6843.750000,"-50.319328
"
6859.375000,"-50.379200
"
6875.000000,"-52.000713
"
6890.625000,"-50.817715
"
6906.250000,"-55.217995
"
6921.875000,"-60.311489
"
6937.500000,"-60.156956
"
6953.125000,"-55.490009
"
6968.750000,"-53.663429
"
6984.375000,"-54.485062
"
7000.000000,"-55.355156
"
7015.625000,"-57.536438
"
7031.250000,"-58.569771
"
7046.875000,"-56.810497
"
7062.500000,"-55.815083
"
7078.125000,"-56.092777
"
7093.750000,"-60.188354
"
7109.375000,"-62.765373
"
7125.000000,"-63.538315
"
7140.625000,"-61.297314
"
7156.250000,"-59.064087
"
7171.875000,"-61.690002
"
7187.500000,"-61.346561
"
7203.125000,"-58.979256
"
7218.750000,"-63.792816
"
7234.375000,"-64.008156
"
7250.000000,"-62.285084
"
7265.625000,"-66.853874
"
7281.250000,"-68.898712
"
7296.875000,"-63.198612
"
7312.500000,"-65.069656
"
7328.125000,"-71.515129
"
7343.750000,"-68.400002
"
7359.375000,"-65.835617
"
7375.000000,"-66.953148
"
7390.625000,"-70.642670
"
7406.250000,"-68.243881
"
7421.875000,"-66.200378
"
7437.500000,"-66.573914
"
7453.125000,"-66.706329
"
7468.750000,"-67.701500
"
7484.375000,"-72.367821
"
7500.000000,"-71.834007
"
7515.625000,"-70.305695
"
7531.250000,"-72.016037
"
7546.875000,"-72.981735
"
7562.500000,"-77.428474
"
7578.125000,"-83.312531
"
7593.750000,"-98.827492
"
7609.375000,"-75.902039
"
7625.000000,"-69.706955
"
7640.625000,"-69.456635
"
7656.250000,"-72.415245
"
7671.875000,"-69.917397
"
7687.500000,"-72.469826
"
7703.125000,"-80.446205
"
7718.750000,"-72.682121
"
7734.375000,"-69.087219
"
7750.000000,"-72.591904
"
7765.625000,"-82.761177
"
7781.250000,"-93.046181
"
7796.875000,"-87.170044
"
7812.500000,"-83.759590
"
7828.125000,"-76.613945
"
7843.750000,"-72.602692
"
7859.375000,"-71.896439
"
7875.000000,"-73.468994
"
7890.625000,"-79.521362
"
7906.250000,"-85.587631
"
7921.875000,"-85.163254
"
7937.500000,"-84.316605
"
7953.125000,"-84.664673
"
7968.750000,"-84.696503
"
7984.375000,"-83.760529
"
